Rank,Zone_ID,Location,Score,Daily_kWh,Census_Blocks,LMI_Pct,Qualifying_Households,Area_km2,Latitude,Longitude,Tier
1,148,Arlington,94.4,48000,1,92%,460,0.04,38.8284,-77.1133,Tier1
2,86,Richmond,94.2,48000,2,97%,974,0.24,37.6055,-77.4270,Tier1
3,108,Arlington,89.8,48000,2,75%,750,0.18,38.8871,-77.0840,Tier1
4,74,Arlington,89.8,48000,2,75%,750,0.10,38.8154,-77.1248,Tier1
5,76,Alexandria,83.0,48000,2,58%,584,0.17,38.8128,-77.0511,Tier1
6,66,Alexandria,80.9,48000,3,75%,1131,0.43,38.8138,-77.1089,Tier1
7,46,Arlington,77.5,48000,3,86%,1292,0.68,38.8555,-77.1435,Tier1
8,113,Alexandria,77.3,48000,2,66%,658,0.28,38.7612,-77.0885,Tier1
9,260,Arlington,74.3,48000,1,72%,360,0.12,38.8214,-77.1472,Tier2
10,188,Fairfax,72.9,48000,1,62%,308,0.10,38.6987,-77.2166,Tier2
11,150,Manassas,72.4,48000,1,82%,411,0.20,38.5928,-77.2985,Tier2
12,245,Arlington,72.2,48000,1,61%,304,0.06,38.8422,-77.1435,Tier2
13,218,Alexandria,71.9,48000,1,68%,340,0.12,38.7824,-77.0815,Tier2
14,214,Alexandria,71.5,48000,1,60%,299,0.06,38.7870,-77.0704,Tier2
15,104,Alexandria,71.5,48000,2,84%,838,0.74,38.7588,-77.0802,Tier2
16,171,Fairfax,71.3,48000,1,60%,302,0.10,38.8553,-77.2309,Tier2
17,273,Ashland,70.7,48000,1,68%,338,0.13,37.6472,-77.5581,Tier2
18,123,Newport News,70.3,48000,2,77%,766,0.61,37.0534,-76.3985,Tier2
19,264,Arlington,70.2,48000,1,78%,389,0.19,38.8382,-77.0917,Tier2
20,282,Charlottesville,69.7,48000,1,81%,406,0.23,38.0673,-78.5001,Tier2
21,119,Arlington,69.6,48000,2,60%,598,0.38,38.8733,-77.1070,Tier2
22,22,Arlington,69.4,48000,7,69%,2429,1.77,38.8429,-77.0719,Tier2
23,35,Arlington,69.4,48000,5,73%,1832,1.46,38.8697,-77.1506,Tier2
24,288,Virginia Beach,69.4,48000,1,77%,383,0.19,36.8538,-75.9923,Tier2
25,216,Herndon,69.2,48000,1,78%,388,0.20,38.9711,-77.3367,Tier2
26,187,Arlington,68.9,48000,1,77%,383,0.19,38.8791,-77.0862,Tier2
27,79,Arlington,68.9,48000,2,58%,576,0.37,38.8610,-77.0596,Tier2
28,65,Norfolk,68.2,48000,3,65%,980,0.73,36.9406,-76.2507,Tier2
29,122,Fairfax,68.1,48000,2,67%,669,0.51,38.8222,-77.2178,Tier2
30,41,Virginia Beach,67.8,48000,4,72%,1439,1.30,36.8489,-76.0374,Tier2
31,62,Newport News,66.9,48000,3,71%,1066,1.04,37.0972,-76.4211,Tier2
32,247,Fairfax,66.7,48000,1,85%,424,0.40,38.8665,-77.3082,Tier2
33,284,Sterling,66.6,48000,1,53%,264,0.08,39.0069,-77.4871,Tier2
34,81,Norfolk,66.4,48000,2,71%,710,0.73,36.8676,-76.1629,Tier2
35,110,Manassas,66.1,48000,2,76%,756,0.99,38.7486,-77.4824,Tier2
36,38,Sterling,65.1,48000,4,70%,1406,1.66,39.1075,-77.5487,Tier2
37,194,Herndon,65.1,48000,1,59%,296,0.13,38.9476,-77.4095,Tier2
38,90,Virginia Beach,64.8,48000,2,56%,564,0.48,36.8164,-76.1070,Tier2
39,48,Virginia Beach,64.7,48000,3,63%,950,0.93,36.8427,-75.9875,Tier2
40,213,Herndon,63.8,48000,1,76%,381,0.28,38.9664,-77.3929,Tier2
41,172,Fairfax,63.7,48000,1,74%,372,0.25,38.8603,-77.3678,Tier2
42,272,Ashland,63.5,48000,1,79%,396,0.37,37.6878,-77.5348,Tier2
43,94,Sterling,63.4,48000,2,70%,698,1.05,39.0006,-77.4010,Tier2
44,83,Virginia Beach,63.4,48000,2,62%,623,0.68,36.8053,-76.0828,Tier2
45,78,Chesapeake,62.9,48000,2,67%,666,0.91,36.7031,-76.2395,Tier2
46,6,Arlington,62.8,48000,38,68%,12886,8.88,38.8342,-77.1242,Tier2
47,280,Charlottesville,62.6,48000,1,81%,404,0.49,38.0360,-78.4493,Tier2
48,17,Alexandria,62.6,48000,10,73%,3652,4.74,38.7339,-77.1007,Tier2
49,109,Manassas,62.1,48000,2,72%,718,1.65,38.7501,-77.4619,Tier2
50,279,Charlottesville,62.1,48000,1,73%,366,0.27,38.0804,-78.4893,Tier2
51,34,Fairfax,61.7,48000,5,66%,1648,2.46,38.8325,-77.2051,Tier2
52,54,Norfolk,61.4,48000,3,65%,973,1.56,36.8662,-76.1836,Tier2
53,40,Virginia Beach,61.3,48000,4,65%,1300,2.10,36.8480,-76.0084,Tier2
54,44,Fairfax,60.9,48000,4,61%,1214,1.72,38.8679,-77.2037,Tier2
55,106,Newport News,60.8,48000,2,68%,682,1.57,37.0887,-76.4459,Tier2
56,99,Fairfax,60.6,48000,2,67%,673,1.52,38.7989,-77.1924,Tier2
57,89,Virginia Beach,60.6,48000,2,62%,618,0.97,36.7986,-76.1018,Tier2
58,184,Colonial Heights,60.6,48000,1,79%,395,0.55,37.3453,-77.4419,Tier2
59,42,Herndon,60.5,48000,4,67%,1331,2.56,38.9435,-77.3629,Tier2
60,270,Ashland,60.2,48000,1,70%,350,0.26,37.6312,-77.5641,Tier2
61,32,Manassas,60.0,48000,5,66%,1647,3.02,38.6456,-77.3403,Tier2
62,69,Alexandria,60.0,48000,3,70%,1051,2.90,38.7276,-77.1315,Tier2
