City,Sales,Complete,Payable,Success_Rate
Richmond,279,205,113,41%
Petersburg,148,110,71,48%
Fredericksburg,69,53,34,49%
Suffolk,68,50,25,37%
Newport News,63,43,27,43%
Portsmouth,58,44,26,45%
Virginia Beach,51,28,18,35%
Henrico,46,29,13,28%
Colonial Heights,46,36,22,48%
Hopewell,44,34,21,48%
Windsor,42,29,19,45%
Emporia,41,31,23,56%
Norfolk,40,22,15,38%
Chesapeake,38,28,19,50%
Chester,25,15,8,32%
Hampton,25,17,12,48%
Prince George,18,16,12,67%
Charlottesville,16,11,6,38%
South Boston,13,8,6,46%
Smithfield,12,10,6,50%
Farmville,10,4,3,30%
Woodbridge,10,9,2,20%
South Hill,9,6,3,33%
Waverly,7,3,1,14%
Triangle,7,6,0,0%
Brodnax,5,4,2,40%
Dumfries,5,3,1,20%
Glen Allen,4,3,1,25%
Midlothian,3,1,1,33%
Spotsylvania,3,2,2,67%
Jarratt,2,2,2,100%
Courtland,2,0,0,0%
Chesterfield,1,1,0,0%
Sandston,1,0,0,0%
Boydton,1,0,0,0%
Lawrenceville,1,1,0,0%
Mechanicsville,1,1,1,100%
Wakefield,1,0,0,0%
Pamplin,1,1,1,100%
Meherrin,1,1,1,100%
Church Road,1,0,0,0%
Alberta,1,1,1,100%
Louisa,1,1,0,0%
