Rank,Route_ID,Zone_ID,Location,Score,Households,Conversion_Rate,Saturation,Freshness,Daily_kWh,Expected_Closes,Latitude,Longitude,Priority
1,1315,148,Arlington,90.4,150,40%,5%,95%,576000,60.0,38.8284,-77.1133,FRESH
2,1316,148,Arlington,90.4,150,40%,5%,95%,576000,60.0,38.8284,-77.1133,FRESH
3,1478,273,Ashland,88.4,150,45%,5%,95%,648000,67.5,37.6472,-77.5581,FRESH
4,1479,273,Ashland,88.4,150,45%,5%,95%,648000,67.5,37.6472,-77.5581,FRESH
5,1318,150,Manassas,88.4,150,40%,5%,95%,576000,60.0,38.5928,-77.2985,FRESH
6,1319,150,Manassas,88.4,150,40%,5%,95%,576000,60.0,38.5928,-77.2985,FRESH
7,1462,264,Arlington,87.5,150,40%,5%,95%,576000,60.0,38.8382,-77.0917,FRESH
8,1463,264,Arlington,87.5,150,40%,5%,95%,576000,60.0,38.8382,-77.0917,FRESH
9,1367,187,Arlington,87.2,150,40%,5%,95%,576000,60.0,38.8791,-77.0862,FRESH
10,1368,187,Arlington,87.2,150,40%,5%,95%,576000,60.0,38.8791,-77.0862,FRESH
11,1118,66,Alexandria,87.0,150,40%,5%,95%,576000,60.0,38.8138,-77.1089,FRESH
12,1119,66,Alexandria,87.0,150,40%,5%,95%,576000,60.0,38.8138,-77.1089,FRESH
13,1120,66,Alexandria,87.0,150,40%,5%,95%,576000,60.0,38.8138,-77.1089,FRESH
14,1121,66,Alexandria,87.0,150,40%,5%,95%,576000,60.0,38.8138,-77.1089,FRESH
15,1122,66,Alexandria,87.0,150,40%,5%,95%,576000,60.0,38.8138,-77.1089,FRESH
16,1123,66,Alexandria,87.0,150,40%,5%,95%,576000,60.0,38.8138,-77.1089,FRESH
17,1124,66,Alexandria,87.0,150,40%,5%,95%,576000,60.0,38.8138,-77.1089,FRESH
18,1239,108,Arlington,86.9,150,40%,5%,95%,576000,60.0,38.8871,-77.0840,FRESH
19,1240,108,Arlington,86.9,150,40%,5%,95%,576000,60.0,38.8871,-77.0840,FRESH
20,1241,108,Arlington,86.9,150,40%,5%,95%,576000,60.0,38.8871,-77.0840,FRESH
21,1242,108,Arlington,86.9,150,40%,5%,95%,576000,60.0,38.8871,-77.0840,FRESH
22,1151,74,Arlington,86.9,150,40%,5%,95%,576000,60.0,38.8154,-77.1248,FRESH
23,1152,74,Arlington,86.9,150,40%,5%,95%,576000,60.0,38.8154,-77.1248,FRESH
24,1153,74,Arlington,86.9,150,40%,5%,95%,576000,60.0,38.8154,-77.1248,FRESH
25,1154,74,Arlington,86.9,150,40%,5%,95%,576000,60.0,38.8154,-77.1248,FRESH
26,1035,46,Arlington,86.8,150,40%,5%,95%,576000,60.0,38.8555,-77.1435,FRESH
27,1036,46,Arlington,86.8,150,40%,5%,95%,576000,60.0,38.8555,-77.1435,FRESH
28,1037,46,Arlington,86.8,150,40%,5%,95%,576000,60.0,38.8555,-77.1435,FRESH
29,1038,46,Arlington,86.8,150,40%,5%,95%,576000,60.0,38.8555,-77.1435,FRESH
30,1039,46,Arlington,86.8,150,40%,5%,95%,576000,60.0,38.8555,-77.1435,FRESH
31,1040,46,Arlington,86.8,150,40%,5%,95%,576000,60.0,38.8555,-77.1435,FRESH
32,1041,46,Arlington,86.8,150,40%,5%,95%,576000,60.0,38.8555,-77.1435,FRESH
33,1042,46,Arlington,86.8,150,40%,5%,95%,576000,60.0,38.8555,-77.1435,FRESH
34,1457,260,Arlington,86.3,150,40%,5%,95%,576000,60.0,38.8214,-77.1472,FRESH
35,1458,260,Arlington,86.3,150,40%,5%,95%,576000,60.0,38.8214,-77.1472,FRESH
36,1408,218,Alexandria,85.5,150,40%,5%,95%,576000,60.0,38.7824,-77.0815,FRESH
37,1409,218,Alexandria,85.5,150,40%,5%,95%,576000,60.0,38.7824,-77.0815,FRESH
38,1255,113,Alexandria,85.0,150,40%,5%,95%,576000,60.0,38.7612,-77.0885,FRESH
39,1256,113,Alexandria,85.0,150,40%,5%,95%,576000,60.0,38.7612,-77.0885,FRESH
40,1257,113,Alexandria,85.0,150,40%,5%,95%,576000,60.0,38.7612,-77.0885,FRESH
41,1258,113,Alexandria,85.0,150,40%,5%,95%,576000,60.0,38.7612,-77.0885,FRESH
42,1405,216,Herndon,84.4,150,35%,5%,95%,504000,52.5,38.9711,-77.3367,FRESH
43,1406,216,Herndon,84.4,150,35%,5%,95%,504000,52.5,38.9711,-77.3367,FRESH
44,1473,270,Ashland,84.0,150,45%,5%,95%,648000,67.5,37.6312,-77.5641,FRESH
45,1474,270,Ashland,84.0,150,45%,5%,95%,648000,67.5,37.6312,-77.5641,FRESH
46,1438,245,Arlington,84.0,150,40%,5%,95%,576000,60.0,38.8422,-77.1435,FRESH
47,1274,119,Arlington,83.8,150,40%,5%,95%,576000,60.0,38.8733,-77.1070,FRESH
48,1275,119,Arlington,83.8,150,40%,5%,95%,576000,60.0,38.8733,-77.1070,FRESH
49,1276,119,Arlington,83.8,150,40%,5%,95%,576000,60.0,38.8733,-77.1070,FRESH
50,1403,214,Alexandria,83.8,150,40%,5%,95%,576000,60.0,38.7870,-77.0704,FRESH
