Cluster_ID,Location,Num_Routes,Avg_Score,Total_Households,Days_of_Work,Total_kWh,Route_IDs
4,Arlington,117,73.9,17550,117,16848000,"1672,1478,1479,1480,1481,1813,1723,1389,1390,1391..."
5,Charlottesville,59,71.2,8850,59,8496000,"1839,1840,1835,1836,1837,862,863,864,865,866..."
16,Rural,6,70.8,900,6,864000,"1681,1682,1709,1710,1707,1708"
20,Sterling,8,70.2,1200,8,1152000,"1344,1345,1346,1347,1348,1349,1350,1754"
11,Fairfax,11,68.9,1650,11,1584000,"1702,1695,1733,1736,1393,1394,1395,1396,1397,1398..."
6,Herndon,16,68.8,2400,16,2304000,"1760,1732,1756,1755,1564,1565,1566,1688,1368,1369..."
3,Ashland,30,68.8,4500,30,4320000,"1828,1829,1823,1824,1826,1827,1825,1157,1158,1159..."
17,Manassas,9,67.9,1350,9,1296000,"1608,1609,1610,1611,1605,1606,1607,1635,1636"
23,Chesapeake,7,67.7,1050,7,1008000,"1520,1521,1522,1650,1644,1645,1646"
25,Rural,2,67.7,300,2,288000,"1683,1684"
9,Sterling,4,67.7,600,4,576000,"1842,1685,1567,1568"
26,Alexandria,14,67.3,2100,14,2016000,"1125,1126,1127,1128,1129,1130,1131,1132,1133,1134..."
27,Rural,3,67.0,450,3,432000,"1546,1547,1548"
1,Richmond,15,66.8,2250,15,2160000,"1542,1543,1544,1545,1832,1556,1557,1830,1704,1416..."
30,Rural,7,66.3,1050,7,1008000,"1486,1487,1488,1489,1490,1491,1492"
31,Rural,2,66.3,300,2,288000,"1773,1774"
32,Suffolk,34,66.2,5100,34,4896000,"1005,1006,1007,1008,1009,1010,1011,1012,1013,1014..."
18,Fredericksburg,11,66.2,1650,11,1584000,"1664,1665,1752,1753,1720,1627,1628,1629,1630,1663..."
7,Virginia Beach,29,66.2,4350,29,4176000,"1847,1362,1363,1364,1365,1366,1367,1399,1400,1401..."
29,Rural,19,66.1,2850,19,2736000,"1171,1172,1173,1174,1175,1176,1177,1178,1179,1180..."
19,Rural,16,66.0,2400,16,2304000,"1713,1714,1711,1712,1697,1211,1212,1213,1214,1215..."
34,Rural,4,66.0,600,4,576000,"1582,1583,1584,1585"
21,Rural,14,65.8,2100,14,2016000,"1513,1514,1515,1844,1845,1621,1622,1623,1624,1737..."
36,Hopewell,34,65.8,5100,34,4896000,"1693,1694,1039,1040,1041,1042,1043,1044,1045,1046..."
10,Fairfax,11,65.6,1642,11,1576320,"1701,1794,1698,1765,1436,1437,1438,1700,1614,1615..."
2,Manassas,59,65.6,8850,59,8496000,"1674,1675,1298,1299,1300,1301,1302,1303,1304,1305..."
37,Rural,1,65.6,150,1,144000,1656
38,Rural,6,65.6,900,6,864000,"1497,1498,1499,1500,1501,1502"
40,Rural,2,65.5,300,2,288000,"1802,1803"
41,Rural,13,65.4,1950,13,1872000,"1232,1233,1234,1235,1236,1237,1238,1239,1240,1241..."
42,Rural,2,65.1,300,2,288000,"1780,1781"
12,Newport News,161,65.1,24150,161,23184000,"1641,1642,1643,1460,1461,1462,1463,1464,1703,976..."
44,Norfolk,180,64.5,27000,180,25920000,"347,348,349,350,351,352,353,354,355,356..."
46,Rural,2,64.3,300,2,288000,"1725,1726"
24,Rural,4,64.1,600,4,576000,"1790,1561,1562,1563"
39,Rural,3,64.0,450,3,432000,"1734,1735,1766"
47,Colonial Heights,83,64.0,12450,83,11952000,"695,696,697,698,699,700,701,702,703,704..."
14,Colonial Heights,10,64.0,1500,10,1440000,"1718,1719,1506,1507,1508,1690,1385,1386,1387,1388"
48,Rural,2,63.8,300,2,288000,"1815,1816"
49,Rural,8,63.8,1200,8,1152000,"1329,1330,1331,1332,1333,1334,1335,1336"
15,Virginia Beach,62,63.8,9300,62,8928000,"1554,1555,1659,1528,1529,1717,1552,1553,1425,1426..."
50,Fredericksburg,2,63.8,300,2,288000,"1767,1768"
