Rank,Zone_ID,Location,Adjusted_Score,Freshness_Score,Saturation_Pct,Daily_kWh,Census_Blocks,LMI_Pct,Qualifying_HH,Remaining_HH,Area_km2,Latitude,Longitude,Priority
1,86,Richmond,88.3,65,35%,48000,2,97%,974,633,0.24,37.6055,-77.4270,HOT
2,148,Arlington,86.6,55,45%,48000,1,92%,460,253,0.04,38.8284,-77.1133,HOT
3,108,Arlington,83.3,55,45%,48000,2,75%,750,413,0.18,38.8871,-77.0840,HOT
4,74,Arlington,83.3,55,45%,48000,2,75%,750,412,0.10,38.8154,-77.1248,HOT
5,76,Alexandria,79.3,60,40%,48000,2,58%,584,351,0.17,38.8128,-77.0511,HOT
6,66,Alexandria,76.9,60,40%,48000,3,75%,1131,679,0.43,38.8138,-77.1089,HOT
7,273,Ashland,74.7,90,10%,48000,1,68%,338,304,0.13,37.6472,-77.5581,HOT
8,113,Alexandria,74.3,60,40%,48000,2,66%,658,394,0.28,38.7612,-77.0885,HOT
9,150,Manassas,73.6,80,20%,48000,1,82%,411,329,0.20,38.5928,-77.2985,HOT
10,46,Arlington,72.7,55,45%,48000,3,86%,1292,710,0.68,38.8555,-77.1435,HOT
11,188,Fairfax,71.7,65,35%,48000,1,62%,308,201,0.10,38.6987,-77.2166,HOT
12,282,Charlottesville,71.4,80,20%,48000,1,81%,406,325,0.23,38.0673,-78.5001,HOT
13,123,Newport News,71.0,75,25%,48000,2,77%,766,574,0.61,37.0534,-76.3985,HOT
14,260,Arlington,70.5,55,45%,48000,1,72%,360,198,0.12,38.8214,-77.1472,HOT
15,171,Fairfax,70.4,65,35%,48000,1,60%,302,196,0.10,38.8553,-77.2309,HOT
16,214,Alexandria,69.6,60,40%,48000,1,60%,299,179,0.06,38.7870,-77.0704,GOOD
17,218,Alexandria,69.6,60,40%,48000,1,68%,340,204,0.12,38.7824,-77.0815,GOOD
18,245,Arlington,69.2,55,45%,48000,1,61%,304,167,0.06,38.8422,-77.1435,GOOD
19,216,Herndon,69.1,70,30%,48000,1,78%,388,272,0.20,38.9711,-77.3367,GOOD
20,104,Alexandria,68.8,60,40%,48000,2,84%,838,503,0.74,38.7588,-77.0802,GOOD
21,284,Sterling,68.8,75,25%,48000,1,53%,264,198,0.08,39.0069,-77.4871,GOOD
22,110,Manassas,68.6,80,20%,48000,2,76%,756,605,0.99,38.7486,-77.4824,GOOD
23,62,Newport News,68.4,75,25%,48000,3,71%,1066,800,1.04,37.0972,-76.4211,GOOD
24,288,Virginia Beach,68.3,65,35%,48000,1,77%,383,249,0.19,36.8538,-75.9923,GOOD
25,272,Ashland,68.3,90,10%,48000,1,79%,396,356,0.37,37.6878,-77.5348,GOOD
26,122,Fairfax,67.6,65,35%,48000,2,67%,669,435,0.51,38.8222,-77.2178,GOOD
27,41,Virginia Beach,67.1,65,35%,48000,4,72%,1439,935,1.30,36.8489,-76.0374,GOOD
28,119,Arlington,67.0,55,45%,48000,2,60%,598,329,0.38,38.8733,-77.1070,GOOD
29,38,Sterling,66.9,75,25%,48000,4,70%,1406,1054,1.66,39.1075,-77.5487,GOOD
30,264,Arlington,66.9,55,45%,48000,1,78%,389,214,0.19,38.8382,-77.0917,GOOD
31,65,Norfolk,66.7,60,40%,48000,3,65%,980,588,0.73,36.9406,-76.2507,GOOD
32,79,Arlington,66.6,55,45%,48000,2,58%,576,317,0.37,38.8610,-77.0596,GOOD
33,22,Arlington,66.5,55,45%,48000,7,69%,2429,1336,1.77,38.8429,-77.0719,GOOD
34,75,Rural,66.5,95,5%,48000,2,59%,587,558,0.97,37.2836,-76.6839,GOOD
35,35,Arlington,66.4,55,45%,48000,5,73%,1832,1008,1.46,38.8697,-77.1506,GOOD
36,194,Herndon,66.3,70,30%,48000,1,59%,296,208,0.13,38.9476,-77.4095,GOOD
37,78,Chesapeake,66.3,80,20%,48000,2,67%,666,532,0.91,36.7031,-76.2395,GOOD
38,187,Arlington,65.9,55,45%,48000,1,77%,383,211,0.19,38.8791,-77.0862,GOOD
39,270,Ashland,65.8,90,10%,48000,1,70%,350,315,0.26,37.6312,-77.5641,GOOD
40,247,Fairfax,65.8,65,35%,48000,1,85%,424,276,0.40,38.8665,-77.3082,GOOD
41,94,Sterling,65.5,75,25%,48000,2,70%,698,524,1.05,39.0006,-77.4010,GOOD
42,280,Charlottesville,65.5,80,20%,48000,1,81%,404,324,0.49,38.0360,-78.4493,GOOD
43,109,Manassas,65.4,80,20%,48000,2,72%,718,574,1.65,38.7501,-77.4619,GOOD
44,279,Charlottesville,65.3,80,20%,48000,1,73%,366,293,0.27,38.0804,-78.4893,GOOD
45,90,Virginia Beach,65.1,65,35%,48000,2,56%,564,367,0.48,36.8164,-76.1070,GOOD
46,81,Norfolk,65.0,60,40%,48000,2,71%,710,426,0.73,36.8676,-76.1629,GOOD
47,48,Virginia Beach,64.9,65,35%,48000,3,63%,950,617,0.93,36.8427,-75.9875,GOOD
48,184,Colonial Heights,64.8,85,15%,48000,1,79%,395,336,0.55,37.3453,-77.4419,GOOD
49,213,Herndon,64.6,70,30%,48000,1,76%,381,267,0.28,38.9664,-77.3929,GOOD
50,87,Rural,64.6,95,5%,48000,2,61%,607,576,1.90,37.8174,-79.8335,GOOD
51,156,Rural,64.3,95,5%,48000,1,76%,381,362,0.70,37.7800,-79.4409,GOOD
52,178,Rural,64.3,95,5%,48000,1,85%,424,402,4.37,37.7501,-79.3462,GOOD
53,32,Manassas,63.9,80,20%,48000,5,66%,1647,1318,3.02,38.6456,-77.3403,GOOD
54,83,Virginia Beach,63.8,65,35%,48000,2,62%,623,405,0.68,36.8053,-76.0828,GOOD
55,72,Colonial Heights,63.7,85,15%,48000,2,64%,640,544,1.85,37.3598,-77.4535,GOOD
56,172,Fairfax,63.6,65,35%,48000,1,74%,372,242,0.25,38.8603,-77.3678,GOOD
57,141,Fredericksburg,63.5,85,15%,48000,1,78%,388,330,0.63,38.3676,-77.4939,GOOD
58,106,Newport News,63.4,75,25%,48000,2,68%,682,511,1.57,37.0887,-76.4459,GOOD
59,124,Chesapeake,63.1,80,20%,48000,2,75%,749,599,3.93,36.7507,-76.2843,GOOD
60,64,Manassas,63.0,80,20%,48000,3,60%,898,719,1.77,38.6429,-77.3145,GOOD
61,88,Newport News,62.6,75,25%,48000,2,61%,612,459,1.12,37.1637,-76.5688,GOOD
62,34,Fairfax,62.3,65,35%,48000,5,66%,1648,1071,2.46,38.8325,-77.2051,GOOD
63,42,Herndon,62.2,70,30%,48000,4,67%,1331,932,2.56,38.9435,-77.3629,GOOD
64,40,Virginia Beach,62.0,65,35%,48000,4,65%,1300,845,2.10,36.8480,-76.0084,GOOD
65,17,Alexandria,62.0,60,40%,48000,10,73%,3652,2191,4.74,38.7339,-77.1007,GOOD
66,44,Fairfax,61.8,65,35%,48000,4,61%,1214,789,1.72,38.8679,-77.2037,GOOD
67,6,Arlington,61.7,55,45%,48000,38,68%,12886,7087,8.88,38.8342,-77.1242,GOOD
68,210,Fredericksburg,61.7,85,15%,48000,1,78%,388,330,1.17,38.3195,-77.4970,GOOD
69,89,Virginia Beach,61.5,65,35%,48000,2,62%,618,402,0.97,36.7986,-76.1018,GOOD
70,117,Fredericksburg,61.4,85,15%,48000,2,77%,766,652,7.54,38.4048,-77.4281,GOOD
71,99,Fairfax,61.3,65,35%,48000,2,67%,673,437,1.52,38.7989,-77.1924,GOOD
72,159,Fredericksburg,61.1,85,15%,48000,1,73%,366,311,0.62,38.4642,-77.4156,GOOD
73,54,Norfolk,61.0,60,40%,48000,3,65%,973,584,1.56,36.8662,-76.1836,GOOD
74,19,Richmond,60.8,65,35%,48000,9,74%,3313,2153,5.89,37.6038,-77.5814,GOOD
75,286,Newport News,60.8,75,25%,48000,1,80%,401,301,1.37,37.2600,-76.6706,GOOD
76,28,Manassas,60.7,80,20%,48000,6,66%,1981,1585,5.50,38.5682,-77.3209,GOOD
77,179,Rural,60.7,95,5%,48000,1,72%,362,344,1.28,38.1659,-79.0713,GOOD
78,95,Sterling,60.4,75,25%,48000,2,58%,583,437,1.58,39.0573,-77.4419,GOOD
79,246,Fairfax,60.2,65,35%,48000,1,74%,372,242,0.39,38.7075,-77.2079,GOOD
80,27,Richmond,60.1,65,35%,48000,6,63%,1903,1237,3.44,37.6169,-77.6339,GOOD
81,180,Rural,60.0,95,5%,48000,1,67%,336,319,0.58,38.1709,-79.0791,GOOD
82,57,Fairfax,59.9,65,35%,48000,3,59%,883,574,1.68,38.8595,-77.2805,GOOD
83,69,Alexandria,59.7,60,40%,48000,3,70%,1051,631,2.90,38.7276,-77.1315,GOOD
84,26,Portsmouth,59.7,70,30%,48000,6,64%,1927,1349,4.38,36.8707,-76.3978,GOOD
85,215,Fredericksburg,59.5,85,15%,48000,1,74%,372,317,1.46,38.2776,-77.5293,GOOD
86,47,Herndon,59.5,70,30%,48000,3,88%,1321,925,10.73,38.8950,-77.4531,GOOD
87,195,Manassas,59.4,80,20%,48000,1,66%,328,263,0.34,38.8373,-77.4209,GOOD
88,144,Fairfax,59.2,65,35%,48000,1,77%,386,251,0.63,38.7820,-77.1898,GOOD
89,59,Fredericksburg,59.1,85,15%,48000,3,59%,887,754,4.69,38.2673,-77.5657,GOOD
90,91,Richmond,59.0,65,35%,48000,2,61%,612,398,1.76,37.6432,-77.4690,GOOD
91,56,Norfolk,58.9,60,40%,48000,3,60%,895,537,1.75,36.8786,-76.2237,GOOD
92,107,Portsmouth,58.7,70,30%,48000,2,59%,594,415,2.20,36.8735,-76.4257,GOOD
93,120,Manassas,57.9,80,20%,48000,2,55%,546,437,3.09,38.7391,-77.5476,GOOD
